,time,open,high,low,close,tick_volume,spread,real_volume
704,2019-10-07 12:00:00,1.0964,1.09979,1.09633,1.09977,8311,1,0
705,2019-10-07 16:00:00,1.09977,1.10006,1.09782,1.09826,9857,1,0
706,2019-10-07 20:00:00,1.09824,1.09846,1.09688,1.09704,6909,1,0
707,2019-10-08 00:00:00,1.09703,1.09742,1.09647,1.09688,2714,1,0
708,2019-10-08 04:00:00,1.09688,1.09783,1.09661,1.09762,3995,1,0
709,2019-10-08 08:00:00,1.09762,1.09917,1.0973600000000001,1.09905,8723,1,0
710,2019-10-08 12:00:00,1.09905,1.09959,1.09825,1.09844,12055,1,0
711,2019-10-08 16:00:00,1.09844,1.09866,1.09449,1.09527,12657,1,0
712,2019-10-08 20:00:00,1.09527,1.09622,1.09411,1.0956,10142,1,0
713,2019-10-09 00:00:00,1.0956,1.09611,1.09514,1.09578,3105,1,0
714,2019-10-09 04:00:00,1.09577,1.09655,1.09575,1.09621,2385,1,0
715,2019-10-09 08:00:00,1.09621,1.09898,1.09555,1.0984,8299,1,0
716,2019-10-09 12:00:00,1.0984,1.09901,1.09715,1.09749,10238,1,0
717,2019-10-09 16:00:00,1.09749,1.09837,1.09702,1.0973,8952,1,0
718,2019-10-09 20:00:00,1.0973,1.09818,1.09677,1.0971,5994,1,0
719,2019-10-10 00:00:00,1.09704,1.09895,1.09697,1.09817,5647,1,0
720,2019-10-10 04:00:00,1.09817,1.09932,1.09798,1.0986,5089,1,0
721,2019-10-10 08:00:00,1.0986,1.10196,1.09829,1.10174,10362,1,0
722,2019-10-10 12:00:00,1.10174,1.10338,1.10135,1.10232,10912,1,0
723,2019-10-10 16:00:00,1.10232,1.10279,1.1002,1.10163,16216,1,0
724,2019-10-10 20:00:00,1.10163,1.10221,1.10028,1.1005,7200,1,0
725,2019-10-11 00:00:00,1.10049,1.10138,1.10038,1.10059,3534,1,0
726,2019-10-11 04:00:00,1.1006,1.10195,1.10059,1.10162,3078,1,0
727,2019-10-11 08:00:00,1.10162,1.10226,1.10008,1.10094,10344,1,0
728,2019-10-11 12:00:00,1.10095,1.1062400000000001,1.10073,1.10456,18287,1,0
729,2019-10-11 16:00:00,1.10456,1.10627,1.10254,1.10504,18792,1,0
730,2019-10-11 20:00:00,1.10503,1.10516,1.10327,1.1036,7786,1,0
731,2019-10-14 00:00:00,1.10314,1.10382,1.10241,1.10277,4009,1,0
732,2019-10-14 04:00:00,1.10277,1.10354,1.10246,1.1031,3459,1,0
733,2019-10-14 08:00:00,1.1031,1.10335,1.10126,1.10299,8793,1,0
734,2019-10-14 12:00:00,1.10299,1.10427,1.10242,1.10243,7540,1,0
735,2019-10-14 16:00:00,1.10243,1.10306,1.10175,1.10296,8306,1,0
736,2019-10-14 20:00:00,1.10296,1.10326,1.10225,1.10251,3196,1,0
737,2019-10-15 00:00:00,1.10252,1.10295,1.10215,1.10254,3637,1,0
738,2019-10-15 04:00:00,1.10254,1.10333,1.10249,1.10283,3176,1,0
739,2019-10-15 08:00:00,1.10283,1.1046,1.10127,1.10263,11643,1,0
740,2019-10-15 12:00:00,1.10263,1.10265,1.09948,1.10051,11940,1,0
741,2019-10-15 16:00:00,1.10051,1.10444,1.09912,1.10227,16823,1,0
742,2019-10-15 20:00:00,1.10227,1.1038000000000001,1.10169,1.1032,5522,1,0
743,2019-10-16 00:00:00,1.1031900000000001,1.10351,1.10241,1.10318,3454,1,0
744,2019-10-16 04:00:00,1.10318,1.10323,1.10237,1.10301,3657,1,0
745,2019-10-16 08:00:00,1.10301,1.106,1.10292,1.10362,13067,1,0
746,2019-10-16 12:00:00,1.10362,1.10487,1.10225,1.10396,15819,1,0
747,2019-10-16 16:00:00,1.10396,1.10854,1.10387,1.1081,14639,1,0
748,2019-10-16 20:00:00,1.10809,1.10812,1.10647,1.1071,5096,1,0
749,2019-10-17 00:00:00,1.1071,1.10847,1.10708,1.10825,2859,1,0
750,2019-10-17 04:00:00,1.10825,1.10843,1.10747,1.10757,3080,1,0
751,2019-10-17 08:00:00,1.10757,1.10928,1.1065,1.10897,9950,1,0
752,2019-10-17 12:00:00,1.10897,1.11398,1.10897,1.1117,20600,1,0
753,2019-10-17 16:00:00,1.1117,1.11321,1.11102,1.1126,12059,1,0
754,2019-10-17 20:00:00,1.1126,1.11287,1.11203,1.11234,4516,1,0
755,2019-10-18 00:00:00,1.11236,1.11287,1.11229,1.11282,3176,1,0
756,2019-10-18 04:00:00,1.11281,1.11309,1.11212,1.11217,3438,1,0
757,2019-10-18 08:00:00,1.11217,1.11313,1.1114600000000001,1.11277,7949,1,0
758,2019-10-18 12:00:00,1.11277,1.115,1.11247,1.11474,8541,1,0
759,2019-10-18 16:00:00,1.11474,1.11596,1.1135,1.11582,11163,1,0
760,2019-10-18 20:00:00,1.11582,1.11702,1.11562,1.11689,5987,1,0
761,2019-10-21 00:00:00,1.11604,1.11634,1.11497,1.1162,4986,1,0
762,2019-10-21 04:00:00,1.1162,1.11622,1.11542,1.11574,2790,1,0
763,2019-10-21 08:00:00,1.11574,1.11793,1.11496,1.11664,8396,1,0
764,2019-10-21 12:00:00,1.1166800000000001,1.11737,1.11599,1.11608,7214,1,0
765,2019-10-21 16:00:00,1.11608,1.11628,1.11387,1.11514,9211,1,0
766,2019-10-21 20:00:00,1.11514,1.11535,1.11448,1.11487,3578,1,0
767,2019-10-22 00:00:00,1.11487,1.11542,1.11444,1.1154,2271,1,0
768,2019-10-22 04:00:00,1.1154,1.11568,1.11474,1.11527,2371,1,0
769,2019-10-22 08:00:00,1.11527,1.11567,1.11332,1.11409,6724,1,0
770,2019-10-22 12:00:00,1.11409,1.1148,1.11228,1.11267,7929,1,0
771,2019-10-22 16:00:00,1.11267,1.11456,1.11252,1.11404,8724,1,0
772,2019-10-22 20:00:00,1.11403,1.11539,1.11176,1.11243,9342,1,0
773,2019-10-23 00:00:00,1.11242,1.11311,1.1123,1.11259,2723,1,0
774,2019-10-23 04:00:00,1.11259,1.1126800000000001,1.11157,1.1120700000000001,2717,1,0
775,2019-10-23 08:00:00,1.11208,1.11287,1.11178,1.11183,7654,1,0
776,2019-10-23 12:00:00,1.11182,1.1125,1.11061,1.11226,7007,1,0
777,2019-10-23 16:00:00,1.11224,1.11245,1.11117,1.1120700000000001,6653,1,0
778,2019-10-23 20:00:00,1.1120700000000001,1.11402,1.11187,1.11297,3878,1,0
779,2019-10-24 00:00:00,1.11296,1.11333,1.11289,1.11314,2076,2,0
780,2019-10-24 04:00:00,1.11315,1.11418,1.11314,1.11345,2749,1,0
781,2019-10-24 08:00:00,1.11345,1.11626,1.1124,1.11321,10604,1,0
782,2019-10-24 12:00:00,1.11321,1.11535,1.11201,1.11493,8432,1,0
783,2019-10-24 16:00:00,1.11493,1.11516,1.1093,1.11066,13158,1,0
784,2019-10-24 20:00:00,1.11067,1.1111,1.10993,1.11037,4413,1,0
785,2019-10-25 00:00:00,1.11036,1.11067,1.1101,1.11015,2041,1,0
786,2019-10-25 04:00:00,1.11015,1.11052,1.11007,1.1102,1590,1,0
787,2019-10-25 08:00:00,1.11022,1.11226,1.11011,1.11208,5859,1,0
788,2019-10-25 12:00:00,1.11208,1.11228,1.10956,1.10997,5917,1,0
789,2019-10-25 16:00:00,1.10997,1.11053,1.10733,1.10736,8499,1,0
790,2019-10-25 20:00:00,1.10736,1.10825,1.1072899999999999,1.10794,3824,1,0
791,2019-10-28 00:00:00,1.10788,1.10843,1.10771,1.10783,2112,1,0
792,2019-10-28 04:00:00,1.10783,1.10877,1.1076,1.10876,1907,1,0
793,2019-10-28 08:00:00,1.10876,1.10969,1.10856,1.10914,6525,1,0
794,2019-10-28 12:00:00,1.10914,1.11065,1.10843,1.10941,6570,1,0
795,2019-10-28 16:00:00,1.1094,1.11028,1.10863,1.11022,6657,1,0
796,2019-10-28 20:00:00,1.11022,1.11032,1.10967,1.10994,2983,1,0
797,2019-10-29 00:00:00,1.10994,1.11009,1.10915,1.10943,2219,1,0
798,2019-10-29 04:00:00,1.10942,1.11023,1.10924,1.10942,2464,1,0
799,2019-10-29 08:00:00,1.10942,1.10944,1.1077,1.10773,5743,1,0
800,2019-10-29 12:00:00,1.10773,1.10984,1.10735,1.10953,8208,1,0
801,2019-10-29 16:00:00,1.10953,1.11184,1.10948,1.1108,8888,1,0
802,2019-10-29 20:00:00,1.1108,1.11142,1.11048,1.11118,3059,1,0
803,2019-10-30 00:00:00,1.11117,1.11141,1.11066,1.11099,2958,1,0
804,2019-10-30 04:00:00,1.11099,1.11123,1.11064,1.11097,1997,1,0
805,2019-10-30 08:00:00,1.11097,1.11232,1.11097,1.11116,7282,1,0
806,2019-10-30 12:00:00,1.11116,1.11269,1.1102,1.11076,10086,1,0
807,2019-10-30 16:00:00,1.11077,1.11255,1.11058,1.1116,8830,1,0
808,2019-10-30 20:00:00,1.1116,1.11533,1.108,1.11516,12582,1,0
809,2019-10-31 00:00:00,1.11516,1.11696,1.11516,1.11663,4645,1,0
810,2019-10-31 04:00:00,1.11663,1.11703,1.11606,1.11613,3014,1,0
811,2019-10-31 08:00:00,1.11613,1.11756,1.11573,1.11634,9667,1,0
812,2019-10-31 12:00:00,1.11634,1.11747,1.11417,1.11482,11074,1,0
813,2019-10-31 16:00:00,1.11483,1.11587,1.11314,1.11459,11278,1,0
814,2019-10-31 20:00:00,1.11459,1.1154,1.11403,1.11514,3831,1,0
815,2019-11-01 00:00:00,1.11514,1.11665,1.11487,1.11654,3289,1,0
816,2019-11-01 04:00:00,1.11654,1.11666,1.11609,1.11642,2314,2,0
817,2019-11-01 08:00:00,1.11642,1.11687,1.11477,1.1149499999999999,5320,1,0
818,2019-11-01 12:00:00,1.11496,1.11577,1.11281,1.11464,10347,1,0
819,2019-11-01 16:00:00,1.11469,1.11718,1.11469,1.1161699999999999,10652,1,0
820,2019-11-01 20:00:00,1.11618,1.11697,1.11587,1.11648,3085,1,0
821,2019-11-04 00:00:00,1.11687,1.11696,1.11595,1.11671,2192,1,0
822,2019-11-04 04:00:00,1.11671,1.11737,1.11652,1.11677,2083,1,0
823,2019-11-04 08:00:00,1.11677,1.11753,1.11491,1.11649,8299,1,0
824,2019-11-04 12:00:00,1.11649,1.11701,1.11522,1.1156,6692,1,0
825,2019-11-04 16:00:00,1.1156,1.11569,1.114,1.11411,7111,1,0
826,2019-11-04 20:00:00,1.11411,1.11428,1.11247,1.11272,4160,1,0
827,2019-11-05 00:00:00,1.11269,1.1131,1.11216,1.11255,3693,1,0
828,2019-11-05 04:00:00,1.11255,1.11282,1.11124,1.11278,3495,1,0
829,2019-11-05 08:00:00,1.11278,1.11401,1.11242,1.11292,7670,1,0
830,2019-11-05 12:00:00,1.11292,1.1131199999999999,1.10953,1.10992,9135,1,0
831,2019-11-05 16:00:00,1.10992,1.10997,1.10638,1.10678,12301,1,0
832,2019-11-05 20:00:00,1.10678,1.10752,1.10634,1.10742,5086,1,0
833,2019-11-06 00:00:00,1.10742,1.10757,1.10666,1.10752,2961,1,0
834,2019-11-06 04:00:00,1.10752,1.10799,1.10696,1.10757,2224,1,0
835,2019-11-06 08:00:00,1.10758,1.10927,1.10721,1.1091199999999999,7084,1,0
836,2019-11-06 12:00:00,1.1091199999999999,1.10921,1.1077,1.10879,5996,1,0
837,2019-11-06 16:00:00,1.10879,1.10884,1.10649,1.10659,9109,1,0
838,2019-11-06 20:00:00,1.10659,1.10733,1.1065,1.10658,4485,1,0
839,2019-11-07 00:00:00,1.10658,1.10714,1.10633,1.10644,2809,1,0
840,2019-11-07 04:00:00,1.10644,1.10655,1.10549,1.10605,3064,1,0
841,2019-11-07 08:00:00,1.10605,1.10837,1.10581,1.10777,10186,1,0
842,2019-11-07 12:00:00,1.10777,1.10915,1.10653,1.1067,11003,1,0
843,2019-11-07 16:00:00,1.1067,1.10693,1.10361,1.10407,12439,1,0
844,2019-11-07 20:00:00,1.10407,1.10536,1.10383,1.10497,6411,1,0
845,2019-11-08 00:00:00,1.10492,1.10533,1.10458,1.10516,3864,1,0
846,2019-11-08 04:00:00,1.10516,1.10542,1.10468,1.10523,2197,1,0
847,2019-11-08 08:00:00,1.10523,1.10553,1.10379,1.10384,7008,1,0
848,2019-11-08 12:00:00,1.10384,1.10478,1.10259,1.10305,8053,1,0
849,2019-11-08 16:00:00,1.10305,1.10328,1.10166,1.10199,9186,1,0
850,2019-11-08 20:00:00,1.10199,1.10244,1.10184,1.10189,2722,1,0
851,2019-11-11 00:00:00,1.10185,1.10237,1.10164,1.10182,2398,1,0
852,2019-11-11 04:00:00,1.10182,1.10255,1.1017,1.10254,1695,1,0
853,2019-11-11 08:00:00,1.10252,1.10332,1.10209,1.10295,5476,1,0
854,2019-11-11 12:00:00,1.10295,1.1043,1.10256,1.10383,5548,1,0
855,2019-11-11 16:00:00,1.10383,1.10414,1.10309,1.10388,6137,1,0
856,2019-11-11 20:00:00,1.10388,1.10392,1.10311,1.10323,2071,1,0
857,2019-11-12 00:00:00,1.10323,1.10379,1.10281,1.10282,2774,1,0
858,2019-11-12 04:00:00,1.10282,1.1036,1.10263,1.10348,2141,1,0
859,2019-11-12 08:00:00,1.10348,1.10385,1.10188,1.10326,6889,1,0
860,2019-11-12 12:00:00,1.10325,1.10365,1.1011,1.10202,6484,1,0
861,2019-11-12 16:00:00,1.10202,1.10227,1.10025,1.10106,8640,1,0
862,2019-11-12 20:00:00,1.10107,1.10148,1.10052,1.10088,4513,1,0
863,2019-11-13 00:00:00,1.10089,1.1014,1.10068,1.10105,4503,1,0
864,2019-11-13 04:00:00,1.10105,1.10159,1.10083,1.1015,2449,1,0
865,2019-11-13 08:00:00,1.10148,1.10184,1.09991,1.1015,6470,1,0
866,2019-11-13 12:00:00,1.1015,1.10202,1.09997,1.1007500000000001,7859,1,0
867,2019-11-13 16:00:00,1.1007500000000001,1.10155,1.09953,1.0999,8583,1,0
868,2019-11-13 20:00:00,1.0999,1.10091,1.09981,1.10053,4603,1,0
869,2019-11-14 00:00:00,1.10052,1.10109,1.10035,1.10041,3388,1,0
870,2019-11-14 04:00:00,1.1004,1.10056,1.0995,1.09984,2946,1,0
871,2019-11-14 08:00:00,1.09983,1.10156,1.0994,1.10007,7842,1,0
872,2019-11-14 12:00:00,1.10007,1.10042,1.0989,1.09984,6184,1,0
873,2019-11-14 16:00:00,1.09983,1.10205,1.09926,1.10177,8267,1,0
874,2019-11-14 20:00:00,1.10177,1.10273,1.10155,1.10212,3950,1,0
875,2019-11-15 00:00:00,1.10212,1.10269,1.10184,1.10249,3684,1,0
876,2019-11-15 04:00:00,1.1025,1.10297,1.10214,1.10217,2164,1,0
877,2019-11-15 08:00:00,1.10217,1.10253,1.10145,1.10189,5538,1,0
878,2019-11-15 12:00:00,1.10189,1.10432,1.10183,1.10419,6143,1,0
879,2019-11-15 16:00:00,1.10419,1.10548,1.10376,1.10536,7579,1,0
880,2019-11-15 20:00:00,1.10537,1.10567,1.10507,1.10515,2684,1,0
881,2019-11-18 00:00:00,1.1051,1.10586,1.10477,1.10576,2475,1,0
882,2019-11-18 04:00:00,1.10576,1.10644,1.10575,1.10611,2602,1,0
883,2019-11-18 08:00:00,1.10612,1.10678,1.10547,1.10618,7033,1,0
